
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.22.64.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 19.7s
○ Compiling /login ...
 GET /api/auth/session 200 in 47ms (compile: 13ms, proxy.ts: 6ms, render: 29ms)
 POST /api/products 200 in 62ms (compile: 13ms, proxy.ts: 13ms, render: 36ms)
 POST /api/products 200 in 1109ms (compile: 13ms, proxy.ts: 12ms, render: 1083ms)
 POST /api/products 200 in 1176ms (compile: 12ms, proxy.ts: 13ms, render: 1150ms)
 POST /api/products 200 in 1335ms (compile: 12ms, proxy.ts: 13ms, render: 1309ms)
 POST /api/products 200 in 1749ms (compile: 12ms, proxy.ts: 14ms, render: 1724ms)
 POST /api/products 200 in 1824ms (compile: 9ms, proxy.ts: 5ms, render: 1811ms)
 POST /api/products 200 in 703ms (compile: 8ms, proxy.ts: 144ms, render: 552ms)
 POST /api/products 200 in 2.6s (compile: 11ms, proxy.ts: 14ms, render: 2.5s)
 GET /purchases 200 in 688ms (compile: 221ms, proxy.ts: 343ms, render: 124ms)
 GET /purchases 200 in 557ms (compile: 29ms, proxy.ts: 129ms, render: 398ms)
 POST /api/products 200 in 2.3s (compile: 117ms, proxy.ts: 117ms, render: 2.1s)
 GET /purchases 200 in 258ms (compile: 69ms, proxy.ts: 59ms, render: 130ms)
 POST /api/products 200 in 2.6s (compile: 404ms, proxy.ts: 43ms, render: 2.2s)
 GET /purchases 200 in 549ms (compile: 45ms, proxy.ts: 361ms, render: 143ms)
 POST /api/products 200 in 2.3s (compile: 19ms, proxy.ts: 59ms, render: 2.3s)
 GET /purchases 200 in 479ms (compile: 19ms, proxy.ts: 88ms, render: 372ms)
 GET /purchases 200 in 144ms (compile: 66ms, proxy.ts: 45ms, render: 33ms)
 GET /api/products 200 in 617ms (compile: 53ms, proxy.ts: 46ms, render: 518ms)
 GET /purchases 200 in 255ms (compile: 126ms, proxy.ts: 95ms, render: 34ms)
 GET /api/auth/session 200 in 263ms (compile: 156ms, proxy.ts: 92ms, render: 15ms)
 GET /purchases 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 POST /api/products/suppliers 200 in 433ms (compile: 15ms, proxy.ts: 11ms, render: 406ms)
 POST /api/products/suppliers 200 in 447ms (compile: 13ms, proxy.ts: 14ms, render: 420ms)
 POST /api/products/suppliers 200 in 506ms (compile: 15ms, proxy.ts: 12ms, render: 479ms)
 POST /api/products/suppliers 200 in 636ms (compile: 14ms, proxy.ts: 13ms, render: 609ms)
 POST /api/products/suppliers 200 in 1107ms (compile: 13ms, proxy.ts: 14ms, render: 1080ms)
 POST /api/products/suppliers 200 in 660ms (compile: 4ms, proxy.ts: 70ms, render: 586ms)
 POST /api/products/suppliers 200 in 693ms (compile: 4ms, proxy.ts: 70ms, render: 620ms)
 POST /api/products/suppliers 200 in 832ms (compile: 44ms, proxy.ts: 95ms, render: 693ms)
 POST /api/products/suppliers 200 in 954ms (compile: 43ms, proxy.ts: 96ms, render: 815ms)
 POST /api/products/suppliers 200 in 475ms (compile: 45ms, proxy.ts: 61ms, render: 369ms)
 POST /api/products/suppliers 200 in 484ms (compile: 44ms, proxy.ts: 63ms, render: 377ms)
 POST /api/products/suppliers 200 in 1983ms (compile: 13ms, proxy.ts: 14ms, render: 1956ms)
 POST /api/products/suppliers 200 in 654ms (compile: 46ms, proxy.ts: 60ms, render: 547ms)
 GET /purchases 200 in 213ms (compile: 99ms, proxy.ts: 81ms, render: 34ms)
 POST /api/products/suppliers 200 in 1005ms (compile: 381ms, proxy.ts: 20ms, render: 604ms)
 POST /api/products/suppliers 200 in 606ms (compile: 75ms, proxy.ts: 80ms, render: 452ms)
 POST /api/products/suppliers 200 in 646ms (compile: 76ms, proxy.ts: 79ms, render: 492ms)
 POST /api/products/suppliers 200 in 1241ms (compile: 45ms, proxy.ts: 62ms, render: 1134ms)
 GET /purchases 200 in 126ms (compile: 46ms, proxy.ts: 55ms, render: 25ms)
 GET /purchases 200 in 141ms (compile: 37ms, proxy.ts: 83ms, render: 22ms)
 GET /purchases 200 in 33ms (compile: 4ms, proxy.ts: 8ms, render: 21ms)
 GET /purchases 200 in 30ms (compile: 6ms, proxy.ts: 8ms, render: 16ms)
 GET /api/purchases 200 in 103ms (compile: 75ms, proxy.ts: 17ms, render: 10ms)
 GET /api/suppliers 200 in 172ms (compile: 38ms, proxy.ts: 16ms, render: 118ms)
 GET /api/products/aliases 200 in 177ms (compile: 61ms, proxy.ts: 17ms, render: 99ms)
 GET /api/purchases 200 in 47ms (compile: 7ms, proxy.ts: 31ms, render: 8ms)
 GET /api/products/aliases 200 in 421ms (compile: 10ms, proxy.ts: 36ms, render: 375ms)
 GET /api/suppliers 200 in 425ms (compile: 15ms, proxy.ts: 35ms, render: 374ms)
 GET /api/products 200 in 735ms (compile: 47ms, proxy.ts: 16ms, render: 672ms)
 PATCH /api/products/3402 200 in 759ms (compile: 20ms, proxy.ts: 173ms, render: 566ms)
 GET /api/products 200 in 340ms (compile: 2ms, proxy.ts: 7ms, render: 331ms)
 GET /purchases 200 in 122ms (compile: 53ms, proxy.ts: 48ms, render: 22ms)
 GET /purchases 200 in 32ms (compile: 5ms, proxy.ts: 7ms, render: 20ms)
 PATCH /api/products/3357 200 in 645ms (compile: 13ms, proxy.ts: 21ms, render: 611ms)
 GET /purchases 200 in 38ms (compile: 5ms, proxy.ts: 8ms, render: 25ms)
 GET /purchases 200 in 114ms (compile: 11ms, proxy.ts: 65ms, render: 38ms)
 GET /purchases 200 in 480ms (compile: 39ms, proxy.ts: 370ms, render: 71ms)
 PATCH /api/products/3405 200 in 645ms (compile: 54ms, proxy.ts: 25ms, render: 566ms)
 GET /purchases 200 in 492ms (compile: 49ms, proxy.ts: 351ms, render: 92ms)
 GET /api/auth/session 200 in 171ms (compile: 78ms, proxy.ts: 69ms, render: 24ms)
 PATCH /api/products/3404 200 in 704ms (compile: 79ms, proxy.ts: 79ms, render: 546ms)
 GET /purchases 200 in 532ms (compile: 63ms, proxy.ts: 59ms, render: 409ms)
 GET /purchases 200 in 498ms (compile: 43ms, proxy.ts: 376ms, render: 80ms)
 PATCH /api/products/3380 200 in 626ms (compile: 80ms, proxy.ts: 49ms, render: 497ms)
 GET /purchases 200 in 145ms (compile: 52ms, proxy.ts: 57ms, render: 36ms)
 GET /purchases 200 in 488ms (compile: 347ms, proxy.ts: 34ms, render: 107ms)
 GET /api/auth/session 200 in 558ms (compile: 86ms, proxy.ts: 69ms, render: 404ms)
 PATCH /api/products/1366 200 in 1127ms (compile: 92ms, proxy.ts: 348ms, render: 687ms)
 GET /purchases 200 in 525ms (compile: 76ms, proxy.ts: 76ms, render: 373ms)
